"Observation.ID","Observation.Date","Dolphin.ID"
26850,"2022-06-19","AMP"
27388,"2022-08-26","AMP"
27234,"2022-09-20","AMP"
27070,"2022-10-02","AMP"
27189,"2022-10-14","AMP"
27915,"2023-06-25","AMP"
28093,"2023-07-10","AMP"
28101,"2023-07-11","AMP"
28046,"2023-07-28","AMP"
28125,"2023-08-05","AMP"
28693,"2024-06-22","AMP"
28698,"2024-06-25","AMP"
28728,"2024-06-29","AMP"
28759,"2024-07-09","AMP"
28767,"2024-07-10","AMP"
28773,"2024-07-13","AMP"
28874,"2024-11-30","AMP"
17614,"2010-07-29","ANE"
17780,"2010-11-02","ANE"
18028,"2011-09-15","ANE"
18113,"2011-10-21","ANE"
18451,"2012-07-29","ANE"
18479,"2012-08-04","ANE"
18511,"2012-08-17","ANE"
18566,"2012-09-14","ANE"
18663,"2012-10-13","ANE"
18768,"2013-05-27","ANE"
18795,"2013-06-07","ANE"
19059,"2013-08-23","ANE"
19124,"2013-09-09","ANE"
19238,"2013-10-13","ANE"
19552,"2013-11-23","ANE"
19731,"2014-07-02","ANE"
19970,"2014-09-24","ANE"
19984,"2014-09-26","ANE"
20167,"2014-11-09","ANE"
20291,"2014-12-27","ANE"
20344,"2015-04-27","ANE"
20513,"2015-06-03","ANE"
20572,"2015-06-10","ANE"
20832,"2015-07-01","ANE"
20850,"2015-07-03","ANE"
20862,"2015-07-18","ANE"
20904,"2015-07-22","ANE"
20942,"2015-07-30","ANE"
21171,"2015-09-03","ANE"
21574,"2016-05-13","ANE"
21810,"2016-07-15","ANE"
22077,"2017-05-16","ANE"
22087,"2017-05-17","ANE"
22091,"2017-05-18","ANE"
22163,"2017-05-31","ANE"
22238,"2017-06-14","ANE"
22557,"2017-11-06","ANE"
25604,"2019-05-31","ANE"
25640,"2019-06-13","ANE"
25692,"2019-06-25","ANE"
26073,"2019-07-01","ANE"
25452,"2019-08-05","ANE"
25784,"2019-09-24","ANE"
26773,"2022-05-28","ANE"
26794,"2022-06-07","ANE"
26815,"2022-06-13","ANE"
26927,"2022-07-08","ANE"
26955,"2022-07-16","ANE"
27370,"2022-08-15","ANE"
27782,"2023-05-17","ANE"
27856,"2023-06-19","ANE"
27887,"2023-06-21","ANE"
27549,"2023-06-23","ANE"
27925,"2023-06-25","ANE"
27963,"2023-07-01","ANE"
28060,"2023-07-02","ANE"
27617,"2023-07-06","ANE"
27634,"2023-07-12","ANE"
27648,"2023-07-16","ANE"
28024,"2023-07-23","ANE"
28027,"2023-07-24","ANE"
28132,"2023-08-05","ANE"
28165,"2023-08-08","ANE"
28475,"2023-09-22","ANE"
28397,"2023-11-14","ANE"
28502,"2023-11-16","ANE"
28771,"2024-07-13","ANE"
28826,"2024-07-22","ANE"
28876,"2024-11-30","ANE"
9113,"2000-11-23","ANK"
9121,"2000-12-01","ANK"
1158,"1989-07-11","ANT"
1475,"1990-05-27","ANT"
1884,"1990-10-22","ANT"
2646,"1991-10-12","ANT"
3139,"1993-04-16","ANT"
3390,"1993-08-07","ANT"
3831,"1994-06-16","ANT"
4789,"1996-09-08","ANT"
4936,"1996-10-19","ANT"
4941,"1996-10-21","ANT"
4965,"1996-10-27","ANT"
5261,"1997-05-24","ANT"
5279,"1997-06-15","ANT"
5297,"1997-06-17","ANT"
5599,"1997-07-31","ANT"
6169,"1998-03-27","ANT"
6205,"1998-04-15","ANT"
6227,"1998-04-26","ANT"
6239,"1998-05-02","ANT"
6322,"1998-05-19","ANT"
6389,"1998-05-30","ANT"
6436,"1998-06-16","ANT"
6602,"1998-07-06","ANT"
6615,"1998-07-09","ANT"
6829,"1998-07-25","ANT"
6997,"1998-08-10","ANT"
7017,"1998-08-12","ANT"
7042,"1998-08-14","ANT"
7072,"1998-08-23","ANT"
7089,"1998-08-26","ANT"
7381,"1999-02-18","ANT"
7409,"1999-02-19","ANT"
7522,"1999-04-22","ANT"
7585,"1999-06-08","ANT"
7725,"1999-06-17","ANT"
7772,"1999-06-24","ANT"
