"Age.ID","Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","AgeCat","AgeSightings","tot.strength","age.strength","norm.age","avg.tot.age.str","norm.age.indiv","ReproCat"
"NUM.adult","NUM.preg.adult","NUM",58,1995-11-01,2024-11-30,"Y","NUM.preg","adult",40,0.215971915081822,0.822961747174685,3.81050354099468,0.468794429990636,1.75548533541903,"preg"
"NUM.juvenile","NUM.juvenile.juvenile","NUM",58,1995-11-01,2024-11-30,"Y","NUM.juvenile","juvenile",11,0.28378056044671,0.114627112806588,0.403928699788839,0.468794429990636,0.24451466458097,"juvenile"
"OLI.elder","OLI.lact.elder","OLI",138,1983-11-01,2024-11-30,"Y","OLI.lact","elder",50,0.943406806564701,0.707019515879408,0.74943228198017,0.532805204255357,1.32697561929323,"lact"
"OPY.juvenile","OPY.juvenile.juvenile","OPY",88,2011-11-01,2024-11-30,"Y","OPY.juvenile","juvenile",46,0.915793544891643,0.673511652340658,0.735440488849862,0.525171237761649,1.28246104110967,"juvenile"
"PDR.juvenile","PDR.juvenile.juvenile","PDR",31,2010-11-01,2024-11-30,"Y","PDR.juvenile","juvenile",15,4.05048253307199,2.08582145004283,0.514956288050177,1.57928070457604,1.3207414261436,"juvenile"
"PEG.adult","PEG.cyc.adult","PEG",637,1993-11-01,2015-06-18,"Y","PEG.cyc","adult",387,0.468261548209361,2.31571682013293,4.94534908746674,1.49165284199696,1.55245024508031,"cyc"
"PEG.juvenile","PEG.juvenile.juvenile","PEG",637,1993-11-01,2015-06-18,"Y","PEG.juvenile","juvenile",250,0.902801903069519,0.667588863860992,0.73946328822657,1.49165284199696,0.447549754919686,"juvenile"
"PHA.adult","PHA.preg.adult","PHA",138,1990-11-01,2024-11-30,"Y","PHA.preg","adult",101,0.373204425622195,1.06700509849245,2.85903656344259,0.613306536803785,1.73975823582949,"preg"
"PHX.juvenile","PHX.juvenile.juvenile","PHX",13,2018-12-01,2024-11-30,"Y","PHX.juvenile","juvenile",13,0.698707904121592,0.608539538175602,0.870949841251118,0.608539538175602,1,"juvenile"
"PIC.adult","PIC.preg.adult","PIC",812,1996-12-06,2024-11-30,"Y","PIC.preg","adult",457,2.51907692025679,2.30223938109603,0.913921826913228,1.56639773623529,1.46976679539213,"preg"
"PIC.elder","PIC.lact.elder","PIC",812,1996-12-06,2024-11-30,"Y","PIC.lact","elder",23,1.1538027870362,0.845294859659253,0.732616413443221,1.56639773623529,0.539642544230721,"lact"
"PIC.juvenile","PIC.juvenile.juvenile","PIC",812,1996-12-06,2024-11-30,"Y","PIC.juvenile","juvenile",329,1.70398547622469,1.55165896795058,0.91060574729099,1.56639773623529,0.990590660377144,"juvenile"
