Pair,ID1,ID2,IDPair,DyadML
512,PTS,PBA,PTS.PBA,0.0367
513,PTS,SLO,PTS.SLO,0.0098
514,PTS,SUP,PTS.SUP,0.0274
515,PTS,GLM,PTS.GLM,0
516,PTS,NAP,PTS.NAP,0
517,PTS,EVN,PTS.EVN,0.037
518,PTS,ORB,PTS.ORB,0.0162
519,PTS,MNK,PTS.MNK,0.0069
520,PTS,SCT,PTS.SCT,0
521,PTS,RID,PTS.RID,0
522,PTS,POO,PTS.POO,0
523,PTS,BYP,PTS.BYP,0
524,PTS,JMY,PTS.JMY,0
525,PTS,PIK,PTS.PIK,0
526,PTS,UVE,PTS.UVE,0
527,PTS,TCH,PTS.TCH,0.005
528,PTS,CYR,PTS.CYR,0.0063
529,PTS,BNI,PTS.BNI,0
530,PTS,CLI,PTS.CLI,0
531,PTS,SKT,PTS.SKT,0.0119
532,PTS,POL,PTS.POL,0.0179
533,PTS,WOW,PTS.WOW,0
534,PTS,RKT,PTS.RKT,0.0184
535,PTS,CRV,PTS.CRV,0
536,PTS,SCA,PTS.SCA,0.0053
537,PTS,PIM,PTS.PIM,0
538,PTS,GUA,PTS.GUA,0
539,PTS,WOP,PTS.WOP,0.0081
540,PTS,RDC,PTS.RDC,0
541,PTS,MYS,PTS.MYS,0
542,PTS,ZIP,PTS.ZIP,0
543,PTS,MOG,PTS.MOG,0
544,PTS,GEK,PTS.GEK,0.013
545,PTS,WHO,PTS.WHO,0.0226
546,PTS,GBY,PTS.GBY,0.0294
547,PTS,ELW,PTS.ELW,0
548,PTS,SQE,PTS.SQE,0
549,PTS,NIN,PTS.NIN,0
550,PTS,PSS,PTS.PSS,0.0057
551,PTS,CKL,PTS.CKL,0
552,PTS,NIC,PTS.NIC,0.0044
553,PTS,CAD,PTS.CAD,0.0048
554,PTS,GHO,PTS.GHO,0
555,PTS,MNG,PTS.MNG,0
556,PTS,TOR,PTS.TOR,0.019
557,PTS,ASN,PTS.ASN,0.0145
558,PTS,IMP,PTS.IMP,0
559,PTS,LIP,PTS.LIP,0.0191
560,PTS,JUI,PTS.JUI,0.0144
561,PTS,OLI,PTS.OLI,0.0068
562,PTS,PIC,PTS.PIC,0
563,PTS,NIR,PTS.NIR,0
564,PTS,TUK,PTS.TUK,0.0079
565,PTS,EPC,PTS.EPC,0.0012
566,PTS,WOF,PTS.WOF,0.0158
567,PTS,KIT,PTS.KIT,0
568,PTS,BCT,PTS.BCT,0.0087
569,PTS,HBB,PTS.HBB,0.0171
570,PTS,AGA,PTS.AGA,0.0236
571,PTS,ART,PTS.ART,0
572,PTS,CLV,PTS.CLV,0
573,PTS,EED,PTS.EED,0
574,PTS,HRS,PTS.HRS,0
575,PTS,LUG,PTS.LUG,0
576,PTS,PKY,PTS.PKY,0
577,PTS,ZUL,PTS.ZUL,0
578,PTS,FRE,PTS.FRE,0.0015
579,PTS,MRS,PTS.MRS,0
580,PTS,WAB,PTS.WAB,0.0178
581,PTS,GRB,PTS.GRB,0
582,PTS,RGO,PTS.RGO,0.0103
583,PTS,IBL,PTS.IBL,0.0024
584,PTS,RHO,PTS.RHO,0.0002
585,PTS,CYA,PTS.CYA,0
586,PTS,CUR,PTS.CUR,0
587,PTS,FUT,PTS.FUT,0.0185
588,PTS,PEG,PTS.PEG,0.0127
589,PTS,RIP,PTS.RIP,0
590,PTS,BRE,PTS.BRE,0
591,PTS,WHN,PTS.WHN,0
592,PTS,GAB,PTS.GAB,0.0176
593,PTS,CEY,PTS.CEY,0
594,PTS,UMM,PTS.UMM,0.0051
595,PTS,WAC,PTS.WAC,0
596,PTS,AMP,PTS.AMP,0.0581
597,PTS,DOD,PTS.DOD,0
598,PTS,RKL,PTS.RKL,0
599,PTS,SON,PTS.SON,0
600,PTS,UNK1443,PTS.UNK1443,0.0089
601,PTS,UNK1388,PTS.UNK1388,0.0016
602,PTS,PAS,PTS.PAS,0.012
603,PTS,DBO,PTS.DBO,0.0031
604,PTS,EVI,PTS.EVI,0
605,PTS,STT,PTS.STT,0
606,PTS,PLR,PTS.PLR,0.0581
607,PTS,CTN,PTS.CTN,0.0318
608,PTS,UNK1447,PTS.UNK1447,0
609,PTS,BLW,PTS.BLW,0.0062
610,PTS,UNK1449,PTS.UNK1449,0.001
611,PTS,WHP,PTS.WHP,0.0377
612,PTS,WDS,PTS.WDS,0.0106
613,PTS,MSC,PTS.MSC,0.0012
614,PTS,TIH,PTS.TIH,0.0575
615,PTS,DIC,PTS.DIC,0.0132
616,PTS,SMF,PTS.SMF,0.0178
617,PTS,VEE,PTS.VEE,0.0095
618,PTS,WLY,PTS.WLY,0.0037
619,PTS,FID,PTS.FID,0
620,PTS,TAL,PTS.TAL,0
621,PTS,ANW,PTS.ANW,0.0288
622,PTS,MZT,PTS.MZT,0
623,PTS,BBF,PTS.BBF,0.008
624,PTS,NES,PTS.NES,0
625,PTS,JUM,PTS.JUM,0.0122
626,PTS,CF2013_1AF,PTS.CF2013_1AF,0
627,PTS,LDO,PTS.LDO,0.0004
628,PTS,FAO,PTS.FAO,0
629,PTS,HAB,PTS.HAB,0.0016
630,PTS,PGA1,PTS.PGA1,0
631,PTS,SHO1,PTS.SHO1,0
632,PTS,SGG1,PTS.SGG1,0.0029
633,PTS,PCK,PTS.PCK,0
634,PTS,BOM,PTS.BOM,0.0006
635,PTS,IND,PTS.IND,0
636,PTS,LEV,PTS.LEV,0.0218
637,PTS,CLA,PTS.CLA,0
638,PTS,KIR,PTS.KIR,0.0332
639,PTS,NUM,PTS.NUM,0
640,PTS,DNZ,PTS.DNZ,0
641,PTS,GGL,PTS.GGL,0
642,PTS,GMP,PTS.GMP,0
